,food_aspect,service_aspect,ambience_aspect
0,Philly cheese steak was really good,"Service was good, girls are very pleasant and pay attention to the service, prices are very reasonable",
1,"Pathetic food, Ordered vegetarian burger, tasted awful, potato wedges were cut so big and didn’t taste good,",,
2,"food was serve hot and fresh, not so pricey,","Friendly staff, superb service, pretty service staff, overall experience is 5star",Place is a bit outdated might needs some upgrading
3,"Cold beer, hot wings",,
4,The chicken is delicious,"There was a beer 2+1 promotion, it was nice to take pictures with the staff",
5,"Good, as usual, was lovely, good offers on beer BOGO or BTGO. ",super friendly staff and smiling too. ,"Lovely bar, Pitched alongside Clarke's Quay and has seating on the river edge too. Nice music, great decor"
6,"After their renovation, the food quality has dropped significantly. The calamari was cold and greasy, without salt.",,"The music was boring, being played on a poor quality music system in a corner."
7,,great,quite
8,,,'This is the place I entered after wandering around the neighborhood to take a river cruise.'
9,"Very good food, Slush of the day, I had orange.","best place to wait, till the rivercruise starts.",
10,Food came out quick. Food was good but doesnt taste like American original recipes but wasnt bad tasting. ,Great service. Super clean. ,Super clean.
11,,"all drinks are +10% Service fee +8% GST, Some Drinks said ++ so we thought that only those drinks had the +18% charge… in the end, the +18% was on the entire bill. What a scam…",
12,,,
13,"Good food, reasonably priced ",staff were great,cold beer
14,,The clerk is,
15,Nice food and portions as well,"very direct when asked for riverside view to say on the face a big nooooooooo, but that was covered by other waitresses by their welcome gesture and service",Ambience was good along riverside
16,Don't expect too much for the taste,,
17,The food was great,The service was even better,The atmosphere was really cozy and relaxing
18,delicious food,friendly service,cozy atmosphere
19,"The steak was cooked to perfection, the vegetables were cooked just right and the overall taste was delightful.","The service was friendly and attentive., amb: Th",The ambience was relaxing and inviting. 
20,,,
21,"Chairs and table sticky,",service listless and unfriendly,
22,'taste',,'atmosphere'
23,"I didn't eat anything, Service very friendly. ","offered a large beer - 0.5l, which is why it took a while - at the happy hour price and then another one. Service very friendly. ","Unfortunately, you can only sit outside after 6 p.m. - I think it used to be different. It's better to sit at the table than at the counter, especially…"
24,'Food wasn't that great. it could have been but overcooked.',,
25,'Uneatable food',"'terrible service', amb: 'coz",'cozy ambience'
26,chicken wings and fries ,Service was quick ,Sat besides the canal
27,"good, taste quality, downgrade",,
28,quick service and pretty good quality potato starters,quick service,Ambience is also pleasant!
29,,,
30,"""the food tasted really good. Well seasoned and reasonably portioned for the price""","""Good service""",
31,,The music is too loud to communicate with the waitresses. The waitresses don't speak or understand English effectively. Took a wrong order and refused to change it.,The music is too loud
32,Delicious,friendly,cozy
33,'the food is pretty good for the beef and fish','the service is good with the lady who is dressed very sexy','can sit by the river'
34,They don't have appetizers,only drinks,"""Cool"" environment"
35,'the food is delicious',"'the service is always great', amb: 'th",'the ambience is quite cozy and the staff is friendly'
36,"""Very good food""","""drink n service!""",
37,,The service is better,Location wise it is d best.we thoroughly enjoyed the evening.
38,good food ,good service ,"goos drinks, Happy hour for beer in the afternoon, A little bit quite there in the afternoon"
39,,easy to see people,
40,chicken wings,,seating by the Riverside
41,,,
42,"hot and tasty, timely manner, take away","Pleasant service, went out of their way",
43,"had to wait a long time on food, then wrong and bad tasting food,","had to wait a long time on food, observert others Who not got served and they got iretated",
44,,,American-style restaurant
45,portion sizes small for the price charged,Horrible customer service by one of the staff (Laura) no communication at all very cold service,Ambiance was good. Sat outside by the …
46,,,not really busy and boring
47,,Staffs are all great..staff My is doing awesome .. and always attentive on all tables around her.,
48,ordinary restaurant,,good location
49,Overpriced beer,terrible service,
50,,short queue,"lovely place, not too noisy"
51,,paid $90 for a meal and drinks and had to pay extra just to get a glass of water. What a joke!,
52,'The tacos and other items were good','The service needs huge improvements especially the person seating the customers. Very slow to clear the tables.',
53,'I'm a fussy eater and I loved their beef burger!','The service was really friendly','the atmosphere was really relaxed.'
54,Foods was good,service was good,
55,Their signature wings,,
56,"'good in display but not good in taste', 'Baby back ribs and Chicken Wings', 'not recomended or maybe not suitable with us'","'nice and friendly staff', amb: 'Goo",'Good ambience'
57,'The food is delicious',"'The service is excellent', amb: 'Th",'The ambience is cozy'
58,Chiken wings with butter garlic sauce,"The service was great and the staff was friendly, amb: Th",The ambience was amazing and the music was great
59,'Love the wings!','the server exclaimed','The atmosphere here is so cozy!'
60,,'understand the staff',
61,,Nice and good,
62,Chicken wings is a must try.,"servers wear sexy attire, as a Hooters tradition.",Hooters is a bar and restaurant. You can have beer or spirits and enjoy the food.
63,Nice place to have a nice meal with friends and family,"They had recently reopen for lunch which was done with earlier this year due to..., amb: Nice cos",Nice cosy ambience
64,'Food good.' ,'Service ok.' ,'Location nice and relaxing.'
65,"garlic spice chicken wings, beers,",,
66,"The food was average, The chicken wings were not juicy,","The service was not so great, the waitress were not rude but they were not very welcome and would not even smile",
67,'Food is good',"'service is not. Took 10 minutes just to get my drink after the food arrived. Way under staffed and management doesn't care. It isn't the waitresses fault, but still service needs to improve.'",
68,'The food was very below average with most of the items being just fried','Highly understaffed.  The waitresses couldn't be less bothered to ensure you have a clean and a good meal.','The place gives a very unsanitized feeeling.'
69,"Best chicken wings, cheaper than other resturants",,
70,long waiting for food to be served,understaffed,usually crowded on weekends since lifting of covid-19 restrictions
71,"Beer was cheap, Nice Buffalo wing",Waitress are great,
72,'The chicken wings are still good','Was sitted outside and it wasn't that busy',
73,"10 wings,","Waitress serving us seemed to have an attitude, It wasn't even the fact she wore a mask, she was very impatient when we were ordering and seemed annoyed when we flagged her over to check on our food,",
74,,,
75,Steaks and tacos,,
76,Medium wings (1 flame) had almost no spice but were buttery and rich as promised while still maintaining a light crispy crust. Wings were also evenly and sufficiently coated.,Service was efficient and friendly.,
77,'tasty chicken wings','The service was great and the staff was friendly' ,'The restaurant had a cozy atmosphere'
78,Normally food,,
79,,,"'goof Ambience, you can sit for a long time.'"
80,Good starters ,"NA, amb: Nic",Nice ambience by the side of the river
81,,service given by the manager named selena & one of the girl working there,Place was not bad
82,,,
83,buffalo wings is awesome and beer set was reasonable,"service could be better, staff was good and some was not happy to be there",
84,The food is good and fresh beer from the tap is a must try.,The waitresses are very rude. They don't know how to behave with customers and don't even know English.,The place is a charm.
85,10 PCs of wings and a nachos ,"very bad experience with the service staff, Laura. Firstly, she was giving a reluctant attitude ",
86,,'Horrible service! If you are that unhappy working then quit! Complete opposite experience to the original in the US. Complete fail. Better to go somewhere else.',
87,,'No energy. No charisma. Just a dead soul serving. 2nd time here n she just the same lifeless.','Very bad reputation for such a great place.'
88,quality of their food was not very good,,
89,The food was delicious,"Not enough service staff, amb: Th",The ambience was great
90,,,
91,'Food was good',,'Great location'
92,"""Overpriced cafeteria food, that couldn't even cook chicken proper.""",,
93,'finger food',,'Nice chill out by the river.'
94,"Buffalo platter taste weird (like plastic), feels like the paste is not fresh. Mojito way too sweet",,Ambience and food was so different compared with Taipei branch
95,The food was delicious and well-prepared,"The service was quick and efficient, amb: Th",The ambience was cozy and inviting.
96,Suggest to add on something new in the menu,,Great place to chilled
97,Chicken wings were on point,staff were very attentive,
98,"Beef sliders were tasty, can’t go wrong with wings and tater tots, menu said tater tots were slightly smaller than Mt Everest, but it was barely as big as Fort Canning Park",,
99,,'Service so so',
100,,'👌',
101,buffalo wings,,
102,'Food quality is so so','service is bad',
103,,"Staff service, Staff make mistake, manager in-charge trying to challenge the customers",
104,"Fast food type of food, acceptable quality,",,Not the best place for a date or a professional dinner
105,'Food and the Belgian beer is nice','One of the staff forgot my sauce',
106,'best F&B','dine in',
107,Quality and quantity of the food is well maintained and worth the price. Wings with spice options provided are not that spicy.,Service is slow and not customer friendly.,Ambiance is good. The 1+1 Beer offering was good enough.
108,Good food ,fast service ,
109,,'The girls doesnt seems to be comfortable and i think they need more training to mingle with customers',
110,,Great service! The staffs are super friendly and willingly to recommend what is good here!,"Good location, enjoying the nice view by the river."
111,'the food was good','Busy place and some waiting time',
112,chicken wings,,
113,"Food was not good, especially the 2 chicken dishes we ordered. Chicken was hard and dry.",,
114,,,'Ambience at Clarke Quay is just so so when I was there a week ago. Could probably be due badly hit by C19 endemic.'
115,The food was delicious ,Great service! Our waiter was very friendly and attentive. ,cozy and inviting. 
116,,Only place open for mid arvo beers,Post Covid
117,,,'Open until midnight only'
118,'15 minutes to take the order another 40 minutes to prepare the food','Disappointing',
119,"The lunch set is very value for money, The food was very filling and very delicious too, Will definitely recommend to friends and family. I'll come back for more,",The customer service here is very good,
120,Great food,friendly service by Kiki. Kudos!,
121,up to standard,not so friendly,
122,,"Reasonably priced, friendly service",Cozy atmosphere
123,variety of food and beers in the menu,waitress are hot and sexy,outdoor area is just beside the river and u can enjoy the view of the clark quay river
124,"Food portions are big so worth the price. Wings could have had more flavour though, took the original hooters style with the medium flavour. Was shown to be spicy but there was no spice at all.",,
125,"Requested for medium well but was given raw meat, Food was tasteless",,
126,many menu items unavailable,"Slow service, not up to expected standards",
127,The wings are excellent.,,"April 2022 - welcoming establishment, fresh, sober but pretty decoration, pleasant music."
128,"'The food is ok, albeit not very memorable'",,'We sat outside along the Singapore River. It was a nice cool evening with an amazing view.'
129,Average food ,Slow service ,"Nice view, Good beer deals"
130,'Food is good','service should have been better. The server aren't friendly and not in a mood for service',
131,"""The food barely edible.""",,"""The atmosphere was depressing."""
132,Tacos were epic and so were the wings,"Not par with the expectation, huge scope of improvement",
133,"The Wings was great ,beside of that , the Food was fine.","Service was bad ,specially the girl name Laura ,So rude.",
134,Good for Western food,The service was friendly and attentive,The atmosphere was cozy and relaxing
135,,waitresses were good,
136,Horrible cocktails ,poor service ,
137,"great selection of dishes, cooked to perfection",friendly and efficient,"dimly lit, minimalistic, clean"
138,reliable food,Good fun,McDonald's with beer
139,'Food was tasty and fresh','Service was friendly and efficient','The restaurant had a great atmosphere'
140,,,
141,Nice food,"the waiter was friendly, amb: th",the ambience was great
142,'The food here is pretty good – I've had the steak and it was cooked perfectly.',"'The service is also really friendly and attentive.', amb: 'Th",'The ambience is great too – the restaurant has a really cozy feel to it.'
143,Nice food,"the service was excellent, amb: th",the ambience was cozy
144,Food and service was good,Laura who served was professional and very helpful,Amazing location along the river
145,Good food,beers,
146,Good food,excellent service,beautiful atmosphere
147,Nice food,,good view along the river bank
148,'Food was alright','service can be better',
149,worth the bucks,Ladies were extremely attentive and got my orders on table within 10 minutes,
150,The food was delicious,Great service,atmosphere was cozy and warm
151,"The food was excellent, with a wide variety of choices.",The service was friendly and efficient.,The atmosphere was cozy and inviting.
152,Good value and delicious set lunch of fish and chips,,Nice and clean environment
153,"The food is fresh, but the portions are too small. ","Too pushy is the only way to describe the service here. , amb: Th","The ambience is pleasant, but the music is too loud."
154,"The quality of the ingredients is top-notch, and the flavors are complex and well-balanced. ","The service is friendly and attentive, ",The atmosphere is relaxed and inviting.
155,Fresh Oysters,It was very dissappointing not to have what we really came for when it wasn't even crowded at all.,Ambience is ok. Cozy place
156,"'love the food', 'very reasonable price', 'drinks', 'hook' ","'very very good', 'service', 'staff is all very friendly', 'smiling all the time' ","'many years since i have been here', 'looking for a soul'"
157,,'Rude waiter',
158,"Fixed menu, Food good, Best prawn alio",,
159,,,The terrace seats are open and have a nice atmosphere. It's a good place to go drinking
160,well below average ,girls act prematurely-bring beers when not ordered and take beers when not empty ,
161,'food',,'atmosphere'
162,"The wings are amazingly delicious! Just the right amount of crisp with some spicy sauce, every bite was a delightful bit of heaven.",,
163,,all the staff are nice except for the filipina manager who is very rude and not accomodating at all. you will feel that you are not welcome at all. she needs more training.,
164,good food,good service,
165,"'wings... delicious, set meal come with drink and ice cream'",,
166,"cream pasta was the best, flavour was rich and loved the texture, Daytona wings and buffalo tacos were alright,",,place is definitely better suited as a...
167,,Victoria is very friendly staff,
168,excellent food,excellent service,
169,The Hooters wings are good,,Quiet evening on a Friday
170,Good,excellent,relaxing
171,the food was delicious,the service was great,the atmosphere was cozy
172,Good food,service SUCKS!,
173,,"'The recommendation by the staff were really good', amb: 'Grea",'Great ambience'
174,Food was great and surprisingly beyond expectations! The beef fondue was tender and blue cheese reminds me of my time in the usa.,Service was friendly and helpful.,
175,great food,great service,
176,'Food was decent',,
177,,,"beauty, c..."
