,id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,restraunt_name,food_sentiment,service_sentiment,ambience_sentiment,other_sentiment
0,ChdDSUhNMG9nS0VJQ0FnSURoN2IzU2hRRRAB,"Took my son there for dinner and we had a good time. We both ate a Philly cheese steak and it was really good. Service was good, girls are very pleasant and pay attention to the service, prices are very reasonable.",5 days ago,2023-03-20 21:28:13.951090,5.0,laurent,0,0,https://www.google.com/maps/contrib/105288927202208872536/reviews?hl=en-US,Hooters,Positive,Positive,Neutral, Positive
1,ChZDSUhNMG9nS0VJQ0FnSURodHVDeWRREAE,Pathetic food. Ordered vegetarian burger. Tasted awful. Potato wedges were cut so big and didn’t taste good.  Also beware that happy hour beer costs more than regular ones.,a week ago,2023-03-20 21:28:13.954334,1.0,Fa Ris,0,0,https://www.google.com/maps/contrib/106182353398360330995/reviews?hl=en-US,Hooters,Negative,Neutral,Neutral, Negative
2,ChZDSUhNMG9nS0VJQ0FnSURoLW9HUEhREAE,"Friendly staff, superb service, food was serve hot and fresh, not so pricey, pretty service staff. Place is a bit outdated might needs some upgrading. But overall experience is 5star",a week ago,2023-03-20 21:28:13.955274,5.0,Florencio Gali,0,0,https://www.google.com/maps/contrib/107407704479173568961/reviews?hl=en-US,Hooters,Positive,Positive,Neutral, Neutral
3,ChZDSUhNMG9nS0VJQ0FnSURoaXVyTkhREAE,"I have yet to find a Hooter's that I didn't like. Cold beer, hot wings.",2 weeks ago,2023-03-20 21:28:13.956210,5.0,Joshua Manning,0,0,https://www.google.com/maps/contrib/108314359882923657730/reviews?hl=en-US,Hooters,Positive,Neutral,Neutral, Positive
4,ChZDSUhNMG9nS0VJQ0FnSURock9MV1pREAE,"Alcohol is expensive everywhere in Singapore, so I went to Hooters. The chicken is delicious and there are things to see. There was a beer 2+1 promotion, and it was nice to take pictures with the staff as if I was going to a Japanese Mate Cafe.",2 weeks ago,2023-03-20 21:28:13.957351,4.0,J.K LEE,0,0,https://www.google.com/maps/contrib/110170319556299463317/reviews?hl=en-US,Hooters,Positive,Positive,Positive, Neutral
5,ChZDSUhNMG9nS0VJQ0FnSURoMFB1dVh3EAE,"Lovely bar, super friendly staff and smiling too. Good, as usual, was lovely, good offers on beer BOGO or BTGO. Pitched alongside Clarke's Quay and has seating on the river edge too. Nice music, great decor  Will with dropping in to see the menu and nibbles",3 weeks ago,2023-03-20 21:28:13.958533,4.0,Brian Luck,0,0,https://www.google.com/maps/contrib/105148941649349797495/reviews?hl=en-US,Hooters,Positive,Positive,Positive, Positive
6,ChdDSUhNMG9nS0VJQ0FnSUNoMS1XY2dBRRAB,"After their renovation, the food quality has dropped significantly. The calamari was cold and greasy, without salt. The music was boring, being played on a poor quality music system in a corner.",3 weeks ago,2023-03-20 21:28:13.959612,1.0,Nishit Goel,0,0,https://www.google.com/maps/contrib/102038314922887865758/reviews?hl=en-US,Hooters,Negative,Neutral,Negative, Negative
7,ChdDSUhNMG9nS0VJQ0FnSUNoNTUtc3JRRRAB,Lunchtime so quite but everything else great,3 weeks ago,2023-03-20 21:28:13.960527,4.0,Trevor Clarke,0,0,https://www.google.com/maps/contrib/102416078160283817683/reviews?hl=en-US,Hooters,Neutral,Positive,Positive, Positive
8,ChdDSUhNMG9nS0VJQ0FnSUNoaG9pcG1RRRAB,"This is the place I entered after wandering around the neighborhood to take a river cruise. I didn't originally intend to have dinner here, but I don't  …",a month ago,2023-03-20 21:28:13.962422,5.0,Evelyn Jeong,0,0,https://www.google.com/maps/contrib/113297081072413490787/reviews?hl=en-US,Hooters,Neutral,Neutral,Neutral, Neutral
9,ChZDSUhNMG9nS0VJQ0FnSUNob0txV1VBEAE,"Very good food, best place to wait, till the rivercruise starts! Very good Slush of the day, I had orange.",a month ago,2023-03-20 21:28:13.964317,4.0,Manuel Girisch,0,0,https://www.google.com/maps/contrib/107929753686843064879/reviews?hl=en-US,Hooters,Positive,Neutral,Neutral, Positive
10,ChZDSUhNMG9nS0VJQ0FnSUNoZ1BEZGZBEAE,Great service. Super clean. Food came out quick. Food was good but doesnt taste like American original recipes but wasnt bad tasting.,a month ago,2023-03-20 21:28:13.966049,4.0,carlos dave,0,0,https://www.google.com/maps/contrib/116831768798671012231/reviews?hl=en-US,Hooters,Positive,Positive,Neutral, Neutral
11,ChZDSUhNMG9nS0VJQ0FnSURCaTVyRVF3EAE,"The menu only indicates on the cover (!) Page that all drinks are +10% Service fee +8% GST. Some Drinks said ++ so we thought that only those drinks had the +18% charge… in the end, the +18% was on the entire bill. What a scam…",a month ago,2023-03-20 21:28:13.966932,1.0,abcba cbabc,0,0,https://www.google.com/maps/contrib/115858400606369364388/reviews?hl=en-US,Hooters,Neutral,Negative,Neutral, Negative
12,ChZDSUhNMG9nS0VJQ0FnSURCNmF1akdREAE,"Alcohol is expensive everywhere, so I can't help it,  …",a month ago,2023-03-20 21:28:20.481834,3.0,리뷰폭격기,0,0,https://www.google.com/maps/contrib/105306096916723816385/reviews?hl=en-US,Hooters,Neutral,Neutral,Neutral, Neutral
13,ChZDSUhNMG9nS0VJQ0FnSURCb1puM1dBEAE,"Good food, cold beer, reasonably priced and the staff were great.",a month ago,2023-03-20 21:28:20.485294,5.0,Linton Smith,0,0,https://www.google.com/maps/contrib/108847462899183219808/reviews?hl=en-US,Hooters,Positive,Positive,Neutral, Positive
14,ChZDSUhNMG9nS0VJQ0FnSURCaXRyVE1nEAE,The clerk is …,2 months ago,2023-03-20 21:28:20.487128,5.0,Keigo T,0,0,https://www.google.com/maps/contrib/115698592873638954733/reviews?hl=en-US,Hooters,Neutral,Neutral,Neutral, Neutral
