,id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,restraunt_name,food_sentiment,service_sentiment,ambience_sentiment,other_sentiment,food_aspect_extraction_1,service_aspect_extraction_1,ambience_aspect_extraction_1,food_aspect_extraction_2,service_aspect_extraction_2,ambience_aspect_extraction_2,food_aspect_extraction_3,service_aspect_extraction_3,ambience_aspect_extraction_3
0,ChZDSUhNMG9nS0VJQ0FnSUQ4bXFuSU53EAE,Staffs are rude. Food served cold. Clearly overrated.,2 years ago,48:59.1,2,Vanessa Nee,0,0,https://www.google.com/maps/contrib/108147576745106773956/reviews?hl=en-US,KokSen,-1,-1,0,-1,food serve cold,staff rude,,,,,,,
1,ChZDSUhNMG9nS0VJQ0FnSUQybFBEUVVREAE,"Overrated. Good for Instagram photos. Queue system is confusing - people who asking me where is the takeout queue. I dined in… thinking I would be led to a table then the staff said it’s free sitting… alot of staff in the kitchen, the order …",10 months ago,14:28.0,2,Gwen Goh,0,0,https://www.google.com/maps/contrib/116784671193380821576/reviews?hl=en-US,Eggslut,0,-1,0,0,queue system confusing i dine order,person ask i takeout queue staff say free sit alot staff kitchen,overrate good instagram photo,,,,,,
2,ChZDSUhNMG9nS0VJQ0FnSUNBNnZfdUJ3EAE,"Really good cafe. Coffee is top rate, and food is also really good. They've put a lot of thought into the menu and design overall. Staff are also friendly and accommodating which isn't always the case in Singapore.",4 years ago,34:06.1,5,Jamie Rubbi-Clarke,0,0,https://www.google.com/maps/contrib/102572698178079779305/reviews?hl=en-US,PennyUniversity,1,1,1,1,coffee top rate food also really good put lot think menu,staff also friendly accommodate,design overall,coffee top,overall staff staff also friendly,,really good cafe coffee,,
3,ChZDSUhNMG9nS0VJQ0FnSURDak9tZ2NBEAE,Good atmosphere but food wise taste was okay. But visually very instagram worthy,2 years ago,10:18.9,3,Tan Ying Ying,0,0,https://www.google.com/maps/contrib/105493545374698796813/reviews?hl=en-US,WheelersYard,0,0,1,1,taste okay visuall instagram worthy,,good atmosphere,food wise,,good atmosphere,,,good atmosphere
4,ChdDSUhNMG9nS0VJQ0FnSUNNeTZhTmhRRRAB,Very nice place,3 years ago,35:10.2,4,G Gopal Chopra,0,0,https://www.google.com/maps/contrib/110092058171218591588/reviews?hl=en-US,Hooters,0,0,1,0,food delicious,service great,nice place,,,nice place,,,
5,ChdDSUhNMG9nS0VJQ0FnSURnaC1iMDd3RRAB,"If you have been in Singapore long enough, you're bound to have heard of Wheeler's Yard or have at least seen its photo on Instagram or recommended by food blogs. It's one of the more well known hipster cafe in Singapore, themed around …",4 years ago,18:45.5,5,Luke Phang,0,0,https://www.google.com/maps/contrib/117681118694147432030/reviews?hl=en-US,WheelersYard,0,0,0,0,hear wheeler 's yard photo instagram recommend food blog well known hipster cafe,,theme around,,,,,,
6,ChZDSUhNMG9nS0VJQ0FnSUQwNUo2dVlBEAE,"Cold beer by the river in Singapore, it …",3 years ago,36:18.9,4,조옹,0,0,https://www.google.com/maps/contrib/104420245170377823656/reviews?hl=en-US,Hooters,1,0,1,0,,cold beer,river singapore,,,,,,
7,ChdDSUhNMG9nS0VJQ0FnSURHZ29pMTRBRRAB,"Went there 20 minutes before last call. Ladies were extremely attentive and got my orders on table within 10 minutes...I'd recommend the shots, worth the bucks",a year ago,31:03.9,5,Desi Chef's Kitchen,0,0,https://www.google.com/maps/contrib/104884354052075402682/reviews?hl=en-US,Hooters,1,1,0,1,worth buck,lady extremely attentive get order table within 10 minute,,,lady extremely attentive,,,,
8,ChdDSUhNMG9nS0VJQ0FnSUN1OGVqXzhnRRAB,"The brioche buns are the star for me, soft, fluffy, and buttery! Can be a little on the greasy side though, but bacon is crispy and every mouthful is juicy. Service is pretty standard. Good enough!",7 months ago,12:26.2,4,Stef Lim,0,0,https://www.google.com/maps/contrib/111114862831998583866/reviews?hl=en-US,Eggslut,1,0,0,0,brioche bun star i soft fluffy buttery little greasy side though bacon crispy every mouthful juicy,service pretty standard good enough,,,juicy service service pretty standard,,little greasy side though bacon,service pretty standard,
9,ChZDSUhNMG9nS0VJQ0FnSUN1cFlxTlV3EAE,Pizza quite okay though had better than this. One staff was rude.,7 months ago,43:56.4,3,Florian Habermacher,0,0,https://www.google.com/maps/contrib/111570634917797764173/reviews?hl=en-US,Chichenti,0,-1,0,0,pizza quite okay though good,one staff rude,,,,,pizza quite okay,,
