id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNCdE82VGxnRRAB,As expected on several visits. Today had their supposedly famous big prawn hor fun - too watery and lacking in wok hei.,a day ago,2023-03-21 11:42:56.769789,5.0,John Gui,0,0,https://www.google.com/maps/contrib/109469618693667985381/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURocDVqZ0dBEAE,Ordered big prawns hor fun. It's off its high expectations. The dish is very watery and the kway tiao lacks wok kei. Paid $20 for this. Service is at bare minimum.,a day ago,2023-03-21 11:42:56.770836,3.0,Harold Tan,0,0,https://www.google.com/maps/contrib/113014465009973921902/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoeC1DblNREAE,,a day ago,2023-03-21 11:42:56.771722,4.0,Muriel Chen,0,0,https://www.google.com/maps/contrib/115725388963118829598/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURobTVMRFZnEAE,Shrimp was delicious. The restaurant you want to visit again next time,2 days ago,2023-03-21 11:42:56.772770,5.0,eunhee sim,0,0,https://www.google.com/maps/contrib/102940103066250236826/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoamV5WjJRRRAB,The food is so delicious👏 The ser …,6 days ago,2023-03-21 11:42:56.773818,5.0,OREA,0,0,https://www.google.com/maps/contrib/103209529220100852484/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoMWE2OGpBRRAB,Went there for lunch. Bustling and noisy atmosphere. Food was very flavourful and enjoyable. Best compliment is that I over ate 😂,6 days ago,2023-03-21 11:42:56.774829,5.0,Allan Loh,0,0,https://www.google.com/maps/contrib/104827731343230497831/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURobGZlNVBREAE,"Decent food. Spend about 79 for 3pax including 4 dishes, 2 rice and 3 drinks. Waited for an hour, starting the queue at 6pm. They will only seat you when your group is complete. Fair enough.",a week ago,2023-03-21 11:42:56.775926,3.0,Lervinia Swee,0,0,https://www.google.com/maps/contrib/108703792728573143497/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCOEt2ZGJnEAE,"Generous with their portions & prawns 🍤 for every dish. Can expect to be quite full from ordering few dishes.  pricey for a tzechar place.  If you like thick starchy gravy, you will like their dishes. Thick rice noodles for the horfun was packed separately for takeaway & had a charred wok fried look. Yong Tau foo which is the popular favourite was quite tasty.  Be prepared to queue & wait (both dine-in or takeaway) especially during peak weekend hours.",2 weeks ago,2023-03-21 11:42:56.776913,3.0,Tabitha,0,0,https://www.google.com/maps/contrib/110750330489234379036/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoNHNfMENREAE,,2 weeks ago,2023-03-21 11:42:56.777814,5.0,J L,0,0,https://www.google.com/maps/contrib/110864916437208460564/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoNHNPcWFBEAE,Still delicious and much larger space compared to the old shop lot.,2 weeks ago,2023-03-21 11:42:56.778767,5.0,Helena Ooi,0,0,https://www.google.com/maps/contrib/106196514968598900778/reviews?hl=en-US
