id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURocjkybmNREAE,The general experience and atmosphere was a very positive one and the food was good. But I was disappointed in the service at our table. I felt like there was no effort to make the customer happy and I was even made fun of after not understanding the mumbled words of the service staff. I never experienced this before.,an hour ago,2023-03-21 11:22:26.799579,3.0,lkdriver 22,0,0,https://www.google.com/maps/contrib/100373976225921895297/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoal9TQTZRRRAB,Good place to have a breakfast. Delicious food and coffee. Pretty interesting decor.,12 hours ago,2023-03-21 11:22:26.800758,5.0,Piotr Niziniecki,0,0,https://www.google.com/maps/contrib/101926362182877852442/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURocDZYV1dREAE,Excellent brunch and coffee and also very friendly. Went twice in two days!,a day ago,2023-03-21 11:22:26.801730,5.0,Jack Reidy,0,0,https://www.google.com/maps/contrib/110745304799056139624/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoaF9uUTJnRRAB,"Glad they moved to city area :) Finally get to visit them again. Coffee is good here. I requested for double shot, 5oz. Coffee came hot, strong and full of aroma. They have an excellent variety of brunch food as well. Sat at the bar counter and enjoyed my time there. When I visited yesterday, there was a collaboration with Tanamera coffee. So there was free tasting of their capsules. The owner/boss was really friendly and shared that they will start to serve dinner during Ramadan month. Food will be more African style. He even showed us the menu. I’ll definitely be back.",a day ago,2023-03-21 11:22:26.802653,5.0,Bernie Chin,0,0,https://www.google.com/maps/contrib/109214621085246958273/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoaF9HUVVBEAE,Super kind & friendly staff + good food. What else you want?! Super highly recommended!,a day ago,2023-03-21 11:22:26.803580,5.0,H B,0,0,https://www.google.com/maps/contrib/102317946719609086374/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoMjR1WU9REAE,Muddy espresso is where it is at!,2 days ago,2023-03-21 11:22:26.804463,5.0,Hudaidy J,0,0,https://www.google.com/maps/contrib/112139158618349009007/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURocTdYdXJ3RRAB,"Ordered a coffee takeaway, it’s prepared carefully and nice, would like to try their brunch as well.",2 days ago,2023-03-21 11:22:26.805349,5.0,吳宜臻,0,0,https://www.google.com/maps/contrib/111233758409541585727/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoZzlES2VBEAE,Scrumptious all-day brunch spread. My first visit. Great location. Good Coffee!!!,4 days ago,2023-03-21 11:22:26.806239,5.0,Suhailah Ibrahim Iskandar,0,0,https://www.google.com/maps/contrib/115718920551011233478/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoM2RiMExREAE,A nice ambience,5 days ago,2023-03-21 11:22:26.807176,4.0,MR. Bojenggoals (The One),0,0,https://www.google.com/maps/contrib/110324795210024708719/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURocllXS3R3RRAB,"Quick stopover breakfast while biking on a weekday morning. Attentive service, nice food and coffee. Had the Eggs Benedict and iced mocha. Nice. Prompt and attentive service.",6 days ago,2023-03-21 11:22:26.808091,5.0,Denis Lim,0,0,https://www.google.com/maps/contrib/118192956879147280911/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNxLTRXNnB3RRAB,"Penny University Cafe was one of the popular Cafe previously located at Katong area, when they are still small and cosy. Visit that cafe almost every week, not for dine in (due to heavy crowds) but instead  always take away their ice coffee …",6 days ago,2023-03-21 11:22:26.809040,4.0,Josh Kuek (#jkgourmets),0,0,https://www.google.com/maps/contrib/111255682252678932891/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoeWEzUlJ3EAE,Nice Halal food,a week ago,2023-03-21 11:22:26.809948,5.0,Septian Dwi,0,0,https://www.google.com/maps/contrib/114694682814179465725/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoa2VyMTBRRRAB,Loved their Mediterranean breakfast.Def going back for more.Though the French toast was not up to the mark.,a week ago,2023-03-21 11:22:26.810857,5.0,Lubna Memon,0,0,https://www.google.com/maps/contrib/100937838492464866546/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURoMXZ1V2VREAE,"During our visit to Penny University, my friend and I decided to try a few different dishes from their extensive menu. First up was the classic egg benedict, which was beautifully presented and tasted just as good as it looked. The eggs …",a week ago,2023-03-21 11:22:26.811716,5.0,Hou Daniel,0,0,https://www.google.com/maps/contrib/105199180777772925428/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoeVBfLXl3RRAB,,2 weeks ago,2023-03-21 11:22:26.812550,3.0,S Mugilan,0,0,https://www.google.com/maps/contrib/111283203269722864775/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURob1BmcFhBEAE,"It is a stylish cafe. It seems that you can't enter without a reservation, but since it was earl …",3 weeks ago,2023-03-21 11:22:26.813422,3.0,モッツァレラチー介,0,0,https://www.google.com/maps/contrib/106893106420345511037/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoMzQtUTVBRRAB,"Stopped into this newly opened shop and was rewarded with a flavorful cup of coffee and a really delicious mini carrot cake. I tend to enjoy the frosting more than the cake, and seeing this mini loaf covered in cream cheese frosting …",3 weeks ago,2023-03-21 11:22:26.814378,5.0,John a,0,0,https://www.google.com/maps/contrib/115322239165769116221/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoNTRMUElBEAE,"Definately a great place to have a heart breakfast! Ordered Moroccan Baked Eggs and Home-made Beef Burger. It was so delicious. The sauce from the Moroccan Baked Eggs was so nice paired with Sourdough. The burger had a cheese skirt, so delicious and the beef was juicy.. Definately gonna return again!",3 weeks ago,2023-03-21 11:22:26.815276,5.0,Valentino Suhail,0,0,https://www.google.com/maps/contrib/111815060136233453865/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNocTh2NF93RRAB,Awesome place! Love the ambience,3 weeks ago,2023-03-21 11:22:26.816143,5.0,POP WOW,0,0,https://www.google.com/maps/contrib/112535321223525387467/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURXNllDVURnEAE,Love love love the food and ambience! Staff were helpful and friendly! Will be back for sure!,a month ago,2023-03-21 11:22:26.816990,5.0,Erlina Rahman,0,0,https://www.google.com/maps/contrib/112391494405666593898/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoX3AtWWh3RRAB,Waited for 40 mins and turned out the staff forgot to input our order. When making payment they added an espresso to our order but we actually didn’t order any drink lol,a month ago,2023-03-21 11:22:33.343644,1.0,Maggie Mingyu Tan,0,0,https://www.google.com/maps/contrib/118259378488952868715/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNodnI3SWdRRRAB,Service was slow even on a weekday. Tables after us received their food but we were told the kitchen was busy with orders which is not true as they obviously forgot to input our order.,a month ago,2023-03-21 11:22:33.344610,1.0,Darren Wong,0,0,https://www.google.com/maps/contrib/110126972305378171624/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoanN1RTFRRRAB,Ordered muddy espresso but not impressed since it is just a ice latte. It’s alright. Price is average high range. Food is okay.,a month ago,2023-03-21 11:22:33.345488,3.0,J C,0,0,https://www.google.com/maps/contrib/103864034861154262502/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoaHJ6bjVBRRAB,Best iced oat latte tested in Singapore Great decor and super friendly service.,a month ago,2023-03-21 11:22:33.346374,5.0,Léa Recton,0,0,https://www.google.com/maps/contrib/109593470423394359256/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNodXJmSGlRRRAB,"A local cafe in Bugis. It's delicious, but it's quite crowded, so we recommend …",a month ago,2023-03-21 11:22:33.347229,5.0,ha se,0,0,https://www.google.com/maps/contrib/112373949464181508799/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoLVAtNUZ3EAE,"Good food, great service..",a month ago,2023-03-21 11:22:33.348073,4.0,Mohammad Azaj Zainal,0,0,https://www.google.com/maps/contrib/112340663382514805877/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCMzZXaTlBRRAB,"My go to cafe for brunch! Had the egg benedict turkey ham for the first time, it was so good! Husband had his usual builders breakfast(full english breakfast), delicious just like at the old place! We had their truffle fries too, serving …",a month ago,2023-03-21 11:22:33.348914,5.0,Liz Lieza,0,0,https://www.google.com/maps/contrib/112938215768857218941/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCajY2U3dBRRAB,Very nice simple place to have peaceful meal. Quite variety of food for brunch and breakfast. Reasonable price and portion can share for 2 or 3 pax.,a month ago,2023-03-21 11:22:33.349740,5.0,Lin Dinzly,0,0,https://www.google.com/maps/contrib/107119393466938840767/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCNl9Qdll3EAE,"Hospitable staffs, unique dishes, beautiful presentation, but choice of drinks can be better. I recommend to those looking for a decent breakfast/brunch. 👍🏼 …",a month ago,2023-03-21 11:22:33.350632,4.0,syazreema,0,0,https://www.google.com/maps/contrib/114755097412867174697/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCODdpNEZREAE,Had a lovely eggs benedict breakfast. Place was nicely located. Didn't like how they placed their lights as it was glaring into our faces like a spot light. Service was good and the staff was pleasant and pretty efficient. Lots of street parking outside so quite easy and convenient.,a month ago,2023-03-21 11:22:33.351511,5.0,Andre Koo,0,0,https://www.google.com/maps/contrib/103984968475784661552/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCczVXRHVnRRAB,,a month ago,2023-03-21 11:22:39.855214,5.0,Fariz Aziz,0,0,https://www.google.com/maps/contrib/113760895974268090302/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCcWF6RGlRRRAB,One of the best cafes around and one of the OGs when it comes to specialty coffee. My friends and I come here all the time for great coffee and unique food. Service is excellent and warm. They know their coffee well. …,a month ago,2023-03-21 11:22:39.856044,5.0,Angie Katalina,0,0,https://www.google.com/maps/contrib/107160479967136618373/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCaWNpTnl3RRAB,Wonderful prompt service. New location has nice vibes and beautifully designed. I've been to their old location several times and this is my 3rd time to this new location. …,a month ago,2023-03-21 11:22:39.856893,5.0,Naomi Nanako,0,0,https://www.google.com/maps/contrib/102514721856028604505/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCMGJ2aVJREAE,New outlet is nothing like the old one. Service is outrageously subpar - they FORGOT to input my order …,a month ago,2023-03-21 11:22:39.857742,1.0,Shafira Firdausi,0,0,https://www.google.com/maps/contrib/111637914244063058040/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCd2V6cHd3RRAB,Not what it used to be since they shifted. Ordered eggs ben and the hollandaise sauce (which used to taste so good) is now subpar at best. Also don’t understand the interior. The seats towards the back close to the “open” kitchen is very dark and weird. Lost a loyal customer,a month ago,2023-03-21 11:22:39.858572,1.0,Som Uchwiser,0,0,https://www.google.com/maps/contrib/108992068878402562185/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCOXZmRW5nRRAB,,2 months ago,2023-03-21 11:22:39.859421,5.0,Vladislav Solodkiy,0,0,https://www.google.com/maps/contrib/110252736483500248918/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCeG9XbGVREAE,No customer service . Went here for birthday lunch but left because of such service. Not recommended,2 months ago,2023-03-21 11:22:39.860271,1.0,Md,0,0,https://www.google.com/maps/contrib/114750614157473324070/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCeHVMRUVnEAE,Fantastic coffee. French toast was amazing. Staff are lovely. Beautiful cafe.,2 months ago,2023-03-21 11:22:39.861074,5.0,Stephanie Sexton,0,0,https://www.google.com/maps/contrib/103170806808386646256/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCb3RYQlZ3EAE,"Both signatures of French toast & crab meat omelette were very disappointing. Don’t order ice mocha. Food was bad, place is very warm, feels like the aircondition is not working",2 months ago,2023-03-21 11:22:39.861877,1.0,cp the,0,0,https://www.google.com/maps/contrib/118109848785968895842/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCa3VtaHNnRRAB,"The service crew is really attentive and friendly, and the cafe itself is nice to sit with friends for an hour or two. Food was average, their filter coffee was decent.",2 months ago,2023-03-21 11:22:39.862693,4.0,Shareen,0,0,https://www.google.com/maps/contrib/107506815081452783130/reviews?hl=en-US
