id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURodC1TajlRRRAB,"jus for food n coffee, not a place to hang out .",19 hours ago,2023-03-21 11:06:56.841782,4.0,Maggie Low,0,0,https://www.google.com/maps/contrib/115096854012830606287/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNPOU9ydkF3EAE,"Burpple menu - tried the chilli crab pasta, sakura ebi pasta and 2x iced lemon tea. Chilli crab pasta was good and flavourful with chunks of soft shell crab. Sakura ebi pasta in comparison is quite bland. Good ambience in a cafe setting. The portion of loaded nacho fries was quite large and good for sharing.",23 hours ago,2023-03-21 11:06:56.842916,4.0,Chong Xin,0,0,https://www.google.com/maps/contrib/112793036387942424166/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURodHJLLWtRRRAB,Ordered chilli crab pasta - too salty. Didn’t enjoy the taste. Service was tops though! Applause!,a week ago,2023-03-21 11:06:56.844114,3.0,patricia chan,0,0,https://www.google.com/maps/contrib/109314444280474273833/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoX09TaTRRRRAB,Lovely cafe. You'd like it if you are a cyclist. There's a workshop if you need.  Had a pulled pork sandwich with chai latte.  Good food. Good ambience. Family friendly.,2 weeks ago,2023-03-21 11:06:56.845065,5.0,Cheng Joyce,0,0,https://www.google.com/maps/contrib/118067617334600802659/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURoLUxtd3RBRRAB,Food is pretty average for its price. A good place to chill and hide from the city hustle.,2 weeks ago,2023-03-21 11:06:56.845946,3.0,J C,0,0,https://www.google.com/maps/contrib/116952722861631945204/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoamJfUHFBRRAB,"Love the ""rough"" cosy feel of the place..spacious, large tables. Food was good too.",a month ago,2023-03-21 11:06:56.846915,5.0,Han Wee Lin,0,0,https://www.google.com/maps/contrib/109282910700886418083/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUM2X1luRzRRRRAB,"Awesome fish and chips, milkshake and crabmeat crossiant! Had Egg Benedict and didn't want the ham and they allowed to change to mushroom without an extra charge. Great ambience and friendly staff 😊 breakfast and lunch sets available too.",a month ago,2023-03-21 11:06:56.847898,5.0,Elizabeth Chua,0,0,https://www.google.com/maps/contrib/104050956113986714345/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNoeWVtX1ZBEAE,The food is delicious and the service quality is good. The restaurant maintains a good space between each table. I will come back again.,a month ago,2023-03-21 11:06:56.848927,5.0,Terry Wong,0,0,https://www.google.com/maps/contrib/112304966893076721693/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoaHJDVDRBRRAB,"They serve delicious pulled pork sandwiches during brunch! It comes with amazing potato wedges too 😋  Walked in @1030 on a Sat, was able to get 2 seats at the communal table.  I’m looking forward to return and taste more of the dishes on the menu.",a month ago,2023-03-21 11:06:56.849952,5.0,Zaggie Ng,0,0,https://www.google.com/maps/contrib/111443931738978404339/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNoLU82b2lRRRAB,Place was a bit difficult to find. It’s located in a bike themed warehouse and ambience was great. We went for brunch and food was only average. Wish the truffle fries were skinny instead of chunky,a month ago,2023-03-21 11:06:56.850926,3.0,Audrey Low,0,0,https://www.google.com/maps/contrib/103013355968802865321/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURCd2J2akVBEAE,,a month ago,2023-03-21 11:06:56.851787,5.0,Paul G,0,0,https://www.google.com/maps/contrib/115851632287677634293/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURCbm9LejRRRRAB,,2 months ago,2023-03-21 11:06:56.852628,4.0,Nap Pong,0,0,https://www.google.com/maps/contrib/107653070278404335299/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNCbTZDZlh3EAE,"A fun cafe with a good atmosphere. Food is standard, nothing different but nothing wrong.",2 months ago,2023-03-21 11:06:56.853507,4.0,Fi W,0,0,https://www.google.com/maps/contrib/111931238438557859678/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNCeGRIVlRBEAE,Had a pretty bad experience here where the waiters were rude I can still remember the incident from the beginning of the year in January and thus decided to post this review. Food was not great and overpriced imo,2 months ago,2023-03-21 11:06:56.854325,1.0,Erinn Choong,0,0,https://www.google.com/maps/contrib/115034349671291542493/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNCaGYyQzhnRRAB,Hidden gem in balestier area! So much feels like in the middle of george town.,2 months ago,2023-03-21 11:06:56.855131,5.0,Merry Pottas,0,0,https://www.google.com/maps/contrib/102065324887319457591/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNCcWU2N3hnRRAB,,2 months ago,2023-03-21 11:06:56.856015,5.0,kisshen singh,0,0,https://www.google.com/maps/contrib/114070214117688358901/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNCanMzVmZ3EAE,,2 months ago,2023-03-21 11:06:56.856856,3.0,현현자매,0,0,https://www.google.com/maps/contrib/105124257212133814578/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNCdXJLZGlRRRAB,Having team Xmas lunch. Food quality is good and portion is big.,2 months ago,2023-03-21 11:06:56.857692,4.0,Li Ling Chua,0,0,https://www.google.com/maps/contrib/111041434255415844360/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUNCaEtfb0hREAE,Great brunch location. Staff were friendly and attentive to your needs.,3 months ago,2023-03-21 11:06:56.858550,5.0,Prima Aulia Gusta,0,0,https://www.google.com/maps/contrib/102220704731397665459/reviews?hl=en-US
